OTU,active
Otu02784,blips
Otu02785,blips
Otu02786,blips
Otu02787,blips
Otu02788,blips
Otu02792,blips
Otu02793,blips
Otu02794,blips
Otu02795,blips
Otu02796,blips
Otu02797,blips
Otu02798,blips
Otu02800,blips
Otu02801,blips
Otu02802,blips
Otu02803,blips
Otu02806,blips
Otu02807,blips
Otu02808,blips
Otu02809,blips
Otu02810,blips
Otu02811,blips
Otu02812,blips
Otu02813,blips
Otu02815,blips
Otu02821,blips
Otu02822,blips
Otu02823,blips
Otu02824,blips
Otu02826,blips
Otu02827,blips
Otu02828,blips
Otu02832,blips
Otu02833,blips
Otu02834,blips
Otu02835,blips
Otu02836,blips
Otu02839,blips
Otu02843,blips
Otu02847,blips
Otu02848,blips
Otu02849,blips
Otu02851,blips
Otu02852,blips
Otu02854,blips
Otu02855,blips
Otu02856,blips
Otu02857,blips
Otu02858,blips
Otu02863,blips
Otu02865,blips
Otu02868,blips
Otu02871,blips
Otu02872,blips
Otu02873,blips
Otu02874,blips
Otu02875,blips
Otu02876,blips
Otu02877,blips
Otu02879,blips
Otu02880,blips
Otu02882,blips
Otu02883,blips
Otu02885,blips
Otu02888,blips
Otu02889,blips
Otu02891,blips
Otu02892,blips
Otu02894,blips
Otu02895,blips
Otu02896,blips
Otu02897,blips
Otu02898,blips
Otu02900,blips
Otu02901,blips
Otu02902,blips
Otu02904,blips
Otu02908,blips
Otu02909,blips
Otu02911,blips
Otu02912,blips
Otu02914,blips
Otu02916,blips
Otu02917,blips
Otu02919,blips
Otu02922,blips
Otu02925,blips
Otu02928,blips
Otu02929,blips
Otu02930,blips
Otu02931,blips
Otu02932,blips
Otu02935,blips
Otu02936,blips
Otu02940,blips
Otu02941,blips
Otu02942,blips
Otu02945,blips
Otu02946,blips
Otu02947,blips
Otu02948,blips
Otu02949,blips
Otu02952,blips
Otu02953,blips
Otu02954,blips
Otu02957,blips
Otu02958,blips
Otu02959,blips
Otu02963,blips
Otu02967,blips
Otu02968,blips
Otu02970,blips
Otu02971,blips
Otu02972,blips
Otu02973,blips
Otu02975,blips
Otu02977,blips
Otu02978,blips
Otu02979,blips
Otu02983,blips
Otu02984,blips
Otu02985,blips
Otu02986,blips
Otu02988,blips
Otu02991,blips
Otu02992,blips
Otu02996,blips
Otu02997,blips
Otu02998,blips
Otu02999,blips
Otu03000,blips
Otu03001,blips
Otu03003,blips
Otu03005,blips
Otu03006,blips
Otu03007,blips
Otu03008,blips
Otu03009,blips
Otu03012,blips
Otu03013,blips
Otu03016,blips
Otu03017,blips
Otu03018,blips
Otu03021,blips
Otu03022,blips
Otu03023,blips
Otu03024,blips
Otu03025,blips
Otu03027,blips
Otu03031,blips
Otu03032,blips
Otu03034,blips
Otu03036,blips
Otu03039,blips
Otu03040,blips
Otu03041,blips
Otu03046,blips
Otu03049,blips
Otu03051,blips
Otu03052,blips
Otu03054,blips
Otu03057,blips
Otu03058,blips
Otu03059,blips
Otu03060,blips
Otu03061,blips
Otu03063,blips
Otu03066,blips
Otu03067,blips
Otu03068,blips
Otu03070,blips
Otu03071,blips
Otu03072,blips
Otu03073,blips
Otu03074,blips
Otu03076,blips
Otu03079,blips
Otu03081,blips
Otu03082,blips
Otu03085,blips
Otu03086,blips
Otu03088,blips
Otu03090,blips
Otu03096,blips
Otu03097,blips
Otu03099,blips
Otu03100,blips
Otu03102,blips
Otu03103,blips
Otu03105,blips
Otu03106,blips
Otu03108,blips
Otu03109,blips
Otu03110,blips
Otu03111,blips
Otu03112,blips
Otu03113,blips
Otu03115,blips
Otu03116,blips
Otu03117,blips
Otu03118,blips
Otu03119,blips
Otu03120,blips
Otu03121,blips
Otu03122,blips
Otu03123,blips
Otu03124,blips
Otu03126,blips
Otu03127,blips
Otu03128,blips
Otu03129,blips
Otu03132,blips
Otu03133,blips
Otu03136,blips
Otu03140,blips
Otu03141,blips
Otu03143,blips
Otu03148,blips
Otu03150,blips
Otu03151,blips
Otu03152,blips
Otu03154,blips
Otu03155,blips
Otu03156,blips
Otu03160,blips
