OTU,active
Otu02551,transient
Otu02552,transient
Otu02553,transient
Otu02554,transient
Otu02555,transient
Otu02556,transient
Otu02557,transient
Otu02558,transient
Otu02561,transient
Otu02562,transient
Otu02563,transient
Otu02565,transient
Otu02566,transient
Otu02569,transient
Otu02572,transient
Otu02573,transient
Otu02575,transient
Otu02576,transient
Otu02577,transient
Otu02578,transient
Otu02579,transient
Otu02582,transient
Otu02586,transient
Otu02589,transient
Otu02590,transient
Otu02591,transient
Otu02593,transient
Otu02594,transient
Otu02595,transient
Otu02596,transient
Otu02597,transient
Otu02598,transient
Otu02601,transient
Otu02602,transient
Otu02603,transient
Otu02604,transient
Otu02605,transient
Otu02606,transient
Otu02608,transient
Otu02610,transient
Otu02612,transient
Otu02615,transient
Otu02616,transient
Otu02618,transient
Otu02619,transient
Otu02620,transient
Otu02621,transient
Otu02622,transient
Otu02624,transient
Otu02627,transient
Otu02628,transient
Otu02631,transient
Otu02633,transient
Otu02634,transient
Otu02635,transient
Otu02636,transient
Otu02637,transient
Otu02639,transient
Otu02640,transient
Otu02641,transient
Otu02643,transient
Otu02646,transient
Otu02647,transient
Otu02649,transient
Otu02650,transient
Otu02651,transient
Otu02652,transient
Otu02653,transient
Otu02654,transient
Otu02655,transient
Otu02656,transient
Otu02658,transient
Otu02659,transient
Otu02661,transient
Otu02662,transient
Otu02667,transient
Otu02669,transient
Otu02671,transient
Otu02674,transient
Otu02675,transient
Otu02679,transient
Otu02681,transient
Otu02682,transient
Otu02687,transient
Otu02689,transient
Otu02690,transient
Otu02694,transient
Otu02696,transient
Otu02697,transient
Otu02698,transient
Otu02700,transient
Otu02702,transient
Otu02703,transient
Otu02704,transient
Otu02706,transient
Otu02708,transient
Otu02712,transient
Otu02714,transient
Otu02715,transient
Otu02716,transient
Otu02719,transient
Otu02720,transient
Otu02721,transient
Otu02723,transient
Otu02724,transient
Otu02727,transient
Otu02731,transient
Otu02733,transient
Otu02734,transient
Otu02736,transient
Otu02737,transient
Otu02739,transient
Otu02740,transient
Otu02741,transient
Otu02743,transient
Otu02746,transient
Otu02747,transient
Otu02749,transient
Otu02750,transient
Otu02751,transient
Otu02753,transient
Otu02755,transient
Otu02757,transient
Otu02758,transient
Otu02759,transient
Otu02760,transient
Otu02761,transient
Otu02762,transient
Otu02763,transient
Otu02764,transient
Otu02766,transient
Otu02768,transient
Otu02774,transient
Otu02775,transient
Otu02776,transient
Otu02777,transient
Otu02779,transient
Otu02780,transient
Otu02783,transient
Otu02784,transient
Otu02785,transient
Otu02786,transient
Otu02787,transient
Otu02788,transient
Otu02792,transient
Otu02793,transient
Otu02794,transient
Otu02795,transient
Otu02796,transient
Otu02797,transient
Otu02798,transient
Otu02800,transient
Otu02801,transient
Otu02802,transient
Otu02803,transient
Otu02805,transient
Otu02806,transient
Otu02807,transient
Otu02808,transient
Otu02809,transient
Otu02810,transient
Otu02811,transient
